EventCategoryId,Code,IsCritical,Description,Id,PriorityLevelId,SuppressionDurationSec
2,SanTank_High_Level_Alarm,False,Sanitary Tank High Level Alarm,251,3,
2,SanTank_Low_Level_Alarm,False,Sanitary Tank Low Level Alarm,252,2,
2,Service_Lift_General_Alarm,False,Service Lift General Alarm,253,2,
2,Sewage_Water_Pump_Trip_Alarm,False,Sewage Water Pump Trip Alarm,254,2,
2,Sludge_Pump_Status,False,Sludge Pump Status,255,3,
2,Sludge_Pump_Trip_Alarm,False,Sludge Pump Trip Alarm,256,2,
2,Submersible_Areator_Trip_Alarm,False,Submersible Areator Trip Alarm,257,2,
2,SWP_EffluentPump_Trip_Alarm,False,SWP Effluent Pump Trip Alarm,258,2,
2,Transfer_Pump_Trip_Alarm,False,Transfer Pump Trip Alarm,259,2,
2,Transformer_General_Alarm,True,Transformer General Alarm,260,1,
2,Transformer_Trip_Alarm,True,Transformer Trip Alarm,261,1,
2,TX_High_Temp_Alarm,False,Transformer High Temp Alarm,262,2,
2,WaterTank_High_Level_Alarm,False,Water Tank High Level Alarm,263,3,
2,WaterTank_Low_Level_Alarm,False,Water Tank Low Level Alarm,264,2,
4,L1_Mozart_AddUser,,L1 : Mozart : Add User - เพิ่มผู้ใช้,265,3,
4,L1_Mozart_EditPermission,,L1 : Mozart : Edit permission - แก้ไขสิทธิ์,266,3,
4,L1_Mozart_EditUserLocation,,L1 : Mozart : Edit User Location - แก้ไขพื้นที่ดูแลของผู้ใช้,267,3,
4,L1_Mozart_CreateCWOIssues,,L1 : Mozart : Create CWO Issues - ปัญหาในการสร้าง CWO,268,3,
2,CarparkMakeupFan_VSD_Fault,,Carpark Makeup Fan VSD Fault,270,3,
1,Fire_Exit_Door_Open,True,Fire Exit Door Open,271,1,
4,L1_Virtual_Patrols_Issue,,L1 : Mozart : Virtual Patrols Issue - ปัญหาเรื่อง Virtual Patrols,272,3,
2,AHU_Status,,AHU_Status,273,3,
2,Carpark_Makeup_Fan_Status,,Carpark Makeup Fan Status,274,3,
2,Exhaust_Fan_Status,,Exhaust Fan Status,275,3,
2,Jet_Fan_Status,,Jet Fan Status,276,3,
2,Kitchen_Exhaust_Fan_Status,,Kitchen Exhaust Fan Status,277,3,
2,Precool_Air_Unit_Status,,Precool Air Unit Status,278,3,
2,Carbon_Monoxide_Alarm,,Carbon Monoxide Alarm,279,3,
2,Drainage_Pump_Low_Level_Alarm,,Drainage Pump Low Level Alarm,280,3,
2,PrecoolAirUnit_Duct_Smoke_Alarm,True,Precool Air Unit Duct Smoke Alarm,281,1,
4,DashboardIssues,,L1 : Mozart : Dashboard Issues - ปัญหาแดชบอร์ด,282,3,
1,Falling_Down,,Falling Down Alert,283,3,
2,Pressurized_Fan_VSD_Fault,,Pressurized Fan VSD Fault,284,3,
2,Pressurized_Fan_Mode_Of_Selector,,Pressurized Fan Mode Of Selector,285,3,
1,Access_Control_Door_Status,,Access Control Door Status,286,3,
2,Controller_Fault,,Controller Fault,287,3,
1,Whitelist_Alert,,Whitelist Alert - บุคคลที่ได้รับอนุญาต,288,3,
2,Carpark_Payment_System_Alarm,,Carpark Payment System Alarm,289,3,
2,Fire_Alarm_System_Alert,,Fire Alarm System Alert,290,2,
1,Blacklist_Turnstile,,Member Blacklist Turnstile,291,2,
1,Blacklist_Carpark,,Member Blacklist Carpark,292,2,
2,FAS_Equipment_Supervisory_Signal,,"FAS Equipment Supervisory Signal
",293,3,
2,FAS_NonFire_Activation,,FAS NonFire Activation,294,3,
2,FAS_NonFire_Device_Disabled,,FAS NonFire Device Disabled,295,3,
2,FAS_NonFire_Trouble,,FAS NonFire Trouble,296,3,
2,FAS_Pre_Alarm,,FAS Pre Alarm,297,2,
